Delta_align,Delta_d,S_sub_F_CF,S_sub_P_CF,checkpoint,d_R_F_CF,d_R_P_CF,r_CF,r_F,r_P,stratum,unit_id
0.08172788169872147,0.4972483568303585,0.7072760199412472,0.7890039016399687,291402,1.125818136748277,0.6285697799179184,3,3,4,S2,W29U_2EE18F548561B5DF87AA953F
0.09090737604187638,-0.04241873560183962,0.8727276746709789,0.9636350507128553,291402,0.9447602784985096,0.9871790141003493,4,3,3,S2,W29U_03F715C9B2E6CAD085714748
0.028118229118383686,0.7213921603114618,0.9530385258806776,0.9811567549990613,291402,1.0360865389285865,0.3146943786171247,3,3,3,S2,W29U_6E1CE2BCDE6D0C1A10B6BCF1
0.3103144295096052,0.8315006632794548,0.6284704744328121,0.9387849039424173,291402,1.1195190017178023,0.2880183384383475,3,3,4,S2,W29U_B37F78D6C87C711025971C0A
0.2345008416587785,0.37364555226524926,0.6234706980556117,0.8579715397143902,291402,0.7895620332465969,0.41591648098134765,3,4,3,S2,W29U_BA8F0BBA7DD34894F52D8984
0.34364895850874344,0.8218680717220785,0.6225795386291951,0.9662284971379386,291402,1.0294995202215642,0.20763144849948573,3,3,3,S2,W29U_1A76051F68A035461FA58639
0.11074382930705473,1.2229223599624122,0.8822276519041264,0.9929714812111812,291402,1.3308624204502584,0.10794006048784628,4,2,4,S2,W29U_2E4321BF2DB1D8DD3E839BC4
0.10567263785915149,0.047130592806480465,0.7445537036934616,0.8502263415526131,291402,0.8529109040674887,0.8057803112610082,3,3,3,S2,W29U_F0D8813BABEB03235BE3F5F1
0.3022497806596105,0.8219908129011959,0.624824581505741,0.9270743621653516,291402,1.0597679355255194,0.23777712262432346,3,3,3,S2,W29U_75E1B5DFD8A7A539DE8FC900
0.1189816241666175,1.2512488975706848,0.8781983652089087,0.9971799893755262,291402,1.3092765954578702,0.05802769788718549,4,2,4,S2,W29U_9F64F2ED6522A8545701DEE2
0.03543328473366669,-0.005553165578949026,0.9513945024540296,0.9868277871876963,291402,0.9451888715052295,0.9507420370841785,3,3,3,S2,W29U_1B1E7F331C8C1B7B2435E8C2
0.0737990120558536,0.14338669640061763,0.8986492883533186,0.9724483004091722,291402,1.3358668070653943,1.1924801106647767,2,2,4,S2,W29U_8FEF3BAD240070F8614650A4
0.2855645629783271,0.3469278671250114,0.6422137980362098,0.9277783610145369,291403,0.6955247825919235,0.3485969154669121,4,4,4,S1,W29U_2B98D8963199CEBD39881CF3
0.03226880459980941,0.0927867680396518,0.941826695406353,0.9740955000061624,291403,0.2905853411416014,0.1977985731019496,4,4,4,S1,W29U_11EACAC0A69B433BE5335374
