checkpoint,stratum,unit_id,native_CF_r90,S_F_CF,S_P_CF,S_P_F,Delta_Align,Delta_PF_Align,dR_F_CF,dR_P_CF,dR_P_F,Delta_d,source_record_index
291403,S2,W29U_A7B8E37FC1BCCA0FFB6D7F9E,2,0.6817577953088039,0.9803150975480612,0.6749011893206022,0.29855730223925736,0.32509881067939783,1.4167718462586003,0.14274815403600355,1.446713064460482,1.2740236922225967,238
291403,S2,W29U_E40515EC2262E92D9B884A15,1,0.8860130646749582,0.9974305007968018,0.8803633903410988,0.11141743612184363,0.11963660965890122,1.5385036262840772,0.2360494020721026,1.4202895529816457,1.3024542242119745,239
291403,S2,W29U_41FD60E27CD7FE165904AA23,4,0.5879018537526812,0.6432987057662324,0.8548604237908332,0.05539685201355116,0.14513957620916684,1.2130844737622755,1.027460233043428,1.1480929738652141,0.18562424071884753,240
291403,S2,W29U_F38CAC611236E1EDC4F0B734,3,0.9801465778022947,0.9982497053856454,0.9761962309303729,0.018103127583350642,0.023803769069627112,1.1428699532781161,0.25448306811815385,1.1762662821950414,0.8883868851599623,241
291403,S2,W29U_253B572365B24FEC3BC50C3A,4,0.7746199664772772,0.9245864571118606,0.9289305157670167,0.14996649063458345,0.07106948423298332,1.0745583616309735,0.9688612322132037,1.159372821023946,0.10569712941776976,242
291403,S2,W29U_9EC6A4D2F3C37960EF79F609,1,0.9743087466707373,0.9995427533231875,0.9745613046717051,0.025234006652450236,0.025438695328294902,1.4265887374642496,0.05986007080785821,1.396982412569339,1.3667286666563914,243
291403,S2,W29U_2EE18F548561B5DF87AA953F,3,0.5728278631106111,0.8165483692999759,0.7777632874286345,0.2437205061893648,0.22223671257136546,1.2025024692827522,1.005420361418005,0.7554054865259949,0.1970821078647471,244
291403,S2,W29U_03F715C9B2E6CAD085714748,3,0.5492353817956934,0.696591031342446,0.8543715278247107,0.14735564954675262,0.1456284721752893,1.083184315391337,1.1952052819907077,1.1497356656818671,-0.11202096659937077,245
291403,S2,W29U_6E1CE2BCDE6D0C1A10B6BCF1,3,0.8955713676385523,0.9578132018526105,0.9739101354467096,0.06224183421405827,0.02608986455329043,0.7485223874803969,0.8631743802433887,0.9121120777211349,-0.11465199276299176,246
291403,S2,W29U_B37F78D6C87C711025971C0A,4,0.5840760635251206,0.7101150669375933,0.8510722217299094,0.12603900341247265,0.14892777827009063,1.0891595572380623,0.7859431829604203,1.0570728577791635,0.30321637427764203,247
