P_d,P_s,S_sub_gamma_CF,checkpoint,d_R_gamma_CF,gamma,stratum,unit_id
0.29239536068356764,0.019509108018443078,0.9936774158568245,291402,0.09525212544601287,1.0,S1,W29U_2A89DC488AD15CBE1249ED0D
0.0,0.0,0.9228788254735013,291402,0.4100962575344859,0.0,S1,W29U_9D11D773ABD3D5DDFD96D857
0.14298995738403467,0.02283028609176907,0.9457091115652704,291402,0.3514566111461347,0.25,S1,W29U_9D11D773ABD3D5DDFD96D857
0.3102373187420704,0.04317942742051928,0.9660582528940206,291402,0.2828690941705192,0.5,S1,W29U_9D11D773ABD3D5DDFD96D857
0.4982219502282224,0.05970607822046792,0.9825849036939692,291402,0.2057773003238608,0.75,S1,W29U_9D11D773ABD3D5DDFD96D857
0.6942812357761978,0.07081593837673217,0.9936947638502335,291402,0.1253741210655549,1.0,S1,W29U_9D11D773ABD3D5DDFD96D857
0.0,0.0,0.8654331369769267,291402,0.5568746370332861,0.0,S1,W29U_B52BC9EA0A5865F529FD944F
-0.031119767407290715,0.014694343230017615,0.8801274802069443,291402,0.5742044462128125,0.25,S1,W29U_B52BC9EA0A5865F529FD944F
-0.039457341096914476,0.012013710758615126,0.8774468477355418,291402,0.5788474295349684,0.5,S1,W29U_B52BC9EA0A5865F529FD944F
-0.1442052764408559,-0.22428507104423778,0.6411480659326889,291402,0.6371788980097166,0.75,S1,W29U_B52BC9EA0A5865F529FD944F
-0.2148450172440166,-0.27410964576313246,0.5913234912137942,291402,0.6765163780296728,1.0,S1,W29U_B52BC9EA0A5865F529FD944F
0.0,0.0,0.9275490309304383,291402,0.479042670081505,0.0,S1,W29U_994622A6D5AD3781B8DCA5E7
-0.03241376781267826,-0.006630124887246014,0.9209189060431923,291402,0.4945702479619247,0.25,S1,W29U_994622A6D5AD3781B8DCA5E7
-0.06322677058799378,-0.01679256869002632,0.910756462240412,291402,0.5093309910846715,0.5,S1,W29U_994622A6D5AD3781B8DCA5E7
-0.13146977448745428,-0.28664889553347805,0.6409001353969602,291402,0.5420223018871199,0.75,S1,W29U_994622A6D5AD3781B8DCA5E7
-0.2609763070335244,-0.2903285974358708,0.6372204334945675,291402,0.6040614570311161,1.0,S1,W29U_994622A6D5AD3781B8DCA5E7
0.0,0.0,0.6722793132708051,291402,0.7713727645590547,0.0,S1,W29U_35D26B470FA840A2B61FA7BD
0.07803171448924666,0.0446016819686903,0.7168809952394954,291402,0.7111812252301236,0.25,S1,W29U_35D26B470FA840A2B61FA7BD
0.1587918671891016,0.09432494522701895,0.7666042584978241,291402,0.6488850429757443,0.5,S1,W29U_35D26B470FA840A2B61FA7BD
0.24684849517739393,0.14075908826248207,0.8130384015332872,291402,0.580960558406579,0.75,S1,W29U_35D26B470FA840A2B61FA7BD
0.3502248381327245,0.1930422604732852,0.8653215737440904,291402,0.5012188629510174,1.0,S1,W29U_35D26B470FA840A2B61FA7BD
0.0,0.0,0.8722716899979837,291402,0.3133229893383538,0.0,S1,W29U_D863F5D445E32C9CFE045647
0.15719529924642908,0.028873366516665833,0.9011450565146495,291402,0.26407008826836836,0.25,S1,W29U_D863F5D445E32C9CFE045647
0.30952543298614926,0.059547811443634746,0.9318195014416184,291402,0.2163415553985757,0.5,S1,W29U_D863F5D445E32C9CFE045647
0.4735242901655203,0.09031312614800491,0.9625848161459886,291402,0.16495694321889742,0.75,S1,W29U_D863F5D445E32C9CFE045647
